long,lat,site_number,nitrate,discharge,state
38.337654,-79.435791,145-00079,0.31,7620.565785,VA
38.352655,-79.465234,145-00081,0.36,964.82523,VA
38.215708,-79.595509,145-00083,0.25,7325.285657,VA
38.306266,-79.728837,145-00084,0.22,834.00147,VA
38.330434,-79.698004,145-00086,0.9,1166.51186,VA
38.317099,-79.649117,145-00087,0.13,1392.727945,VA
38.311544,-79.65745,145-00088,0.6,1286.43364,VA
38.344322,-79.633839,145-00092,0.17,542.373505,VA
38.294598,-79.65995,145-00095,0.6,823.09949,VA
38.220153,-79.671061,145-00097,1.65,278.00049,VA
38.679881,-78.457492,169-00071,1.34,19602.65945,VA
38.519319,-78.444714,169-00226,0.8,545.099,VA
38.597099,-78.379994,169-00229,0.31,245.29455,VA
38.666546,-78.321107,169-00230,0.4,54.5099,VA
38.697102,-78.322774,169-00231,0.35,5.45099,VA
38.754883,-78.409993,169-00232,0.7,16.35297,VA
37.847925,-79.47746,181-00172,0.34,15216.62937,VA
38.02626,-79.44607,181-00291,0.19,981.1782,VA
37.851257,-79.368297,181-00294,0.19,490.5891,VA
37.982369,-79.307464,181-00295,2.25,681.37375,VA
37.937646,-79.303576,181-00296,2.5,1226.47275,VA
37.977647,-79.314964,181-00297,1.05,855.80543,VA
37.99848,-79.341908,181-00298,1.5,981.1782,VA
37.898758,-79.405517,181-00299,0.29,27.25495,VA
37.715979,-79.57857,181-00302,0.33,19078.465,VA
37.665423,-79.639958,181-00306,0.36,5450.99,VA
37.792091,-79.593013,181-00308,0.55,7767.66075,VA
37.772925,-79.573847,181-00309,0.55,6541.188,VA
37.721812,-79.606347,181-00310,0.87,3434.1237,VA
38.435707,-78.620428,182-00128,0.345,4565.204125,VA
38.400707,-78.837196,182-00187,1.4,1809.72868,VA
38.408207,-79.049524,182-00225,0.91,20168.663,VA
38.542378,-78.765254,182-00265,3.7,16617.34302,VA
38.517988,-78.894139,182-00584,3.3,10842.67323,VA
38.635964,-78.722563,182-00585,4.75,14727.37576,VA
38.449875,-79.040524,182-00844,1.25,3960.743844,VA
38.57849,-78.853308,182-00855,5,457.0110016,VA
38.54268066,-78.92510973,182-00856,17.2,58.89794695,VA
38.542681,-78.92511,182-00856,17.2,58.89794695,VA
38.542378,-78.925805,182-00856,17.2,58.89794695,VA
38.625992,-78.840808,182-00857,3,807.291619,VA
38.697522,-78.698231,185-00587,2.4,2005.364711,VA
38.847304,-78.607181,185-00589,1.8,3173.130299,VA
38.846331,-78.604014,185-00590,2.34,9452.888818,VA
38.885471,-78.709816,185-00591,0.05,5761.69643,VA
38.795164,-78.817755,185-00684,0.05,5.75079445,VA
38.782941,-78.5136,185-00687,0.05,54.5099,VA
38.995447,-78.356662,185-00689,1.8,1447.237845,VA
38.991002,-78.514989,185-00690,0.3,6541.188,VA
38.775442,-78.70887,185-00693,2.1,2027.76828,VA
38.978029,-78.185888,193-00124,3,7238.91472,VA
